ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,69.696,0.243
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,68.133,0.235
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,64.529,0.234
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,68.966,0.232
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,0.71,2.0,87.575,0.327
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,0.71,23.0,109.953,0.476
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,2.04,2.0,86.444,0.343
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,2.04,23.0,94.499,0.355
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.71,2.0,93.444,0.183
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.71,23.0,85.915,0.258
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.04,2.0,62.883,0.198
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.04,23.0,71.617,0.292
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,1.0,139.797,0.387
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,50.0,92.98,0.361
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,0.25,7.0,124.162,0.316
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,2.5,7.0,73.083,0.334
HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,MQ,1.37,7.0,96.016,0.284
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,1.37,7.0,67.366,0.273
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,71.926,0.295
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,81.85,0.335
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,78.159,0.326
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,72.999,0.295
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,73.901,0.327
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,76.205,0.354
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,0.71,2.0,130.717,0.402
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,0.71,23.0,102.022,0.354
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,2.04,2.0,93.195,0.262
HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,MQ,2.04,23.0,93.161,0.376
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.71,2.0,96.056,0.164
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.71,23.0,77.87,0.242
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.04,2.0,67.582,0.145
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.04,23.0,73.816,0.265
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,1.0,147.172,0.392
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,50.0,94.633,0.38
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,0.25,7.0,122.904,0.317
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,2.5,7.0,74.457,0.285
HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,MQ,1.37,7.0,85.58,0.333
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,1.37,7.0,67.136,0.219
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,77.267,0.271
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,76.796,0.276
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,76.921,0.273
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,73.733,0.286
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,76.425,0.288
HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,MQ,1.37,7.0,77.503,0.278
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,1.375,3.5002575415843395,70.04,0.171
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,2.5,3.5002575415843395,57.7,0.196
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,1.375,1.0,90.63,0.14
HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,MQ,2.5,1.0,90.31,0.13
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,1.375,3.5002575415843395,71.77,0.202
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.5,3.467368504525317,57.03,0.219
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,1.375,1.0,105.7,0.18
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,2.5,1.0,108.9,0.217
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.25,1.0,103.9,0.126
HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,MQ,0.25,3.467368504525317,119.8,0.164
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,1.8107928849972788,,0.726
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,1.8107928849972788,132.463,0.052
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,1.8107928849972788,4941.821,1.0
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,1.8107928849972788,118.758,0.04
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,0.7060709978109694,4.189207115002722,570.792,0.595
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,0.7060709978109694,4.189207115002722,107.632,0.051
ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,MQ,2.0439290021890306,4.189207115002722,194.774,0.204
ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,MQ,2.0439290021890306,4.189207115002722,89.206,0.083
ESM,Micromixer,20.0,0.0,0.0,0.0,MQ,1.375,3.0,7297.414,1.0
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,1.375,3.0,88.68,0.08
