ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,158.593,0.085
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,161.035,0.061
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,171.769,0.111
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,161.298,0.103
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,5.0,114.922,0.056
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,5.0,109.23,0.05
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,5.0,107.303,0.055
ESM,Micromixer,3.0,0.0,2.0,0.0,MQ,1.75,3.0,81.0,0.112
ESM,Micromixer,3.0,0.0,2.0,0.0,MQ,1.0,10.0,79.0,0.109
ESM,Micromixer,4.95,0.0,3.05,0.0,PBS,2.0,7.0,98.0,0.152
ESM,Micromixer,4.95,0.0,3.05,0.0,PBS,1.4,4.7,118.0,0.205
ESM,Micromixer,4.95,0.0,3.05,0.0,PBS,1.0,3.0,160.0,0.239
