ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,62.883,0.198
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,71.617,0.292
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,139.797,0.387
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,92.98,0.361
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,124.162,0.316
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,73.083,0.334
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,96.016,0.284
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.366,0.273
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,71.926,0.295
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,81.85,0.335
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,78.159,0.326
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,72.999,0.295
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.901,0.327
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.205,0.354
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,YES,130.717,0.402
0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,102.022,0.354
0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,93.195,0.262
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,93.161,0.376
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,96.056,0.164
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,77.87,0.242
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,67.582,0.145
0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,73.816,0.265
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,147.172,0.392
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,94.633,0.38
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,122.904,0.317
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,YES,74.457,0.285
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,85.58,0.333
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.136,0.219
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.267,0.271
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.796,0.276
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.921,0.273
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.733,0.286
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.425,0.288
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.503,0.278
0.0,7.542000000000001,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,YES,70.04,0.171
0.0,7.542000000000001,6.704000000000001,2.514,2.5,3.5002575415843395,MQ,YES,57.7,0.196
0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,YES,90.63,0.14
0.0,7.542000000000001,6.704000000000001,2.514,2.5,1.0,MQ,YES,90.31,0.13
0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,YES,71.77,0.202
0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.467368504525317,MQ,YES,57.03,0.219
0.0,8.547600000000001,5.363200000000001,2.8492,1.375,1.0,MQ,YES,105.7,0.18
0.0,8.547600000000001,5.363200000000001,2.8492,2.5,1.0,MQ,YES,108.9,0.217
0.0,8.547600000000001,5.363200000000001,2.8492,0.25,1.0,MQ,YES,103.9,0.126
0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.467368504525317,MQ,YES,119.8,0.164
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,,0.726
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,132.463,0.052
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,NO,4941.821,1.0
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,118.758,0.04
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,570.792,0.595
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,107.632,0.051
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,194.774,0.204
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,89.206,0.083
20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,7297.414,1.0
10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,88.68,0.08
15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,189.471,0.213
15.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,157.52,0.064
15.0,0.0,5.0,0.0,1.375,,MQ,YES,409.523,0.453
15.0,0.0,5.0,0.0,1.375,5.0,MQ,YES,124.934,0.048
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.675,0.119
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,154.375,0.072
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,160.902,0.07
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,165.879,0.074
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,169.422,0.051
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.092,0.065
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,834.01,0.856
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,124.618,0.03
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,NO,8973.734,0.832
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,111.634,0.051
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,622.999,0.643
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,106.201,0.066
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,184.984,0.149
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,84.319,0.059
20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,4813.381,1.0
10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,86.863,0.089
15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,180.646,0.132
15.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,146.835,0.029
15.0,0.0,5.0,0.0,1.375,,MQ,NO,298.881,0.558
15.0,0.0,5.0,0.0,1.375,5.0,MQ,YES,137.567,0.034
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,182.155,0.099
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,176.58,0.101
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,127.517,0.042
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,179.011,0.141
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,167.896,0.114
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,177.175,0.16
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,,0.74
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,125.356,0.071
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,NO,5257.868,1.0
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,118.454,0.08
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,623.865,0.569
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,107.586,0.059
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,198.087,0.236
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,86.184,0.061
20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,3062.225,0.973
10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,85.607,0.066
15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,190.929,0.271
15.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,147.238,0.042
15.0,0.0,5.0,0.0,1.375,,MQ,NO,543.031,0.573
15.0,0.0,5.0,0.0,1.375,5.0,MQ,YES,130.699,0.037
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,196.919,0.179
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,168.994,0.087
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,181.41,0.143
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,163.213,0.091
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,175.564,0.162
15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.168,0.086
10.0,0.0,10.0,0.0,1.375,3.5002575415843395,MQ,YES,84.04,0.09
10.0,0.0,10.0,0.0,2.5,3.5002575415843395,MQ,YES,84.46,0.067
