TFR,SIZE,PDI,FRR
1.375,98.5,0.054,3.5002575415843395
2.5,85.85,0.066,3.467368504525317
1.375,129.1,0.029,1.0
2.5,129.3,0.045,1.0
0.58,125.56,0.263,1.6
2.17,87.316,0.168,1.6
0.58,95.927,0.219,4.4
2.17,67.343,0.242,4.4
0.25,129.236,0.334,3.0
2.5,68.868,0.23,3.0
1.375,149.89,0.421,1.0
1.375,76.973,0.241,4.4
1.375,80.278,0.231,3.0
1.375,80.541,0.212,3.0
1.375,77.848,0.228,3.0
1.375,77.339,0.229,3.0
1.375,78.537,0.223,3.0
0.58,141.851,0.334,1.6
2.17,100.593,0.152,1.6
0.58,103.514,0.306,4.4
2.17,66.039,0.243,4.4
0.25,148.899,0.356,3.0
2.5,66.672,0.27,3.0
1.375,158.663,0.4,1.0
1.375,76.545,0.261,4.4
1.375,81.475,0.248,3.0
1.375,83.866,0.251,3.0
1.375,85.223,0.262,3.0
1.375,80.004,0.233,3.0
1.375,83.696,0.257,3.0
0.58,136.684,0.307,1.6
2.17,107.924,0.174,1.6
0.58,102.589,0.262,4.4
2.17,63.026,0.246,4.4
0.25,131.852,0.295,3.0
2.5,65.3,0.272,3.0
1.375,157.64,0.409,1.0
1.375,75.772,0.254,4.4
1.375,80.386,0.256,3.0
1.375,76.14,0.247,3.0
1.375,78.939,0.251,3.0
1.375,155.532,0.297,3.0
1.375,75.29,0.214,3.0
2.17,91.341,0.2,1.727
2.17,96.467,0.2,1.727
2.17,83.115,0.203,1.727
0.58,230.059,0.349,1.6
2.17,298.002,0.263,1.6
0.58,157.882,0.088,4.4
2.17,125.303,0.065,4.4
0.25,183.962,0.16,3.0
2.5,155.385,0.054,3.0
1.375,232.108,0.322,1.0
1.375,125.924,0.058,5.0
1.375,169.717,0.119,3.0
1.375,164.343,0.091,3.0
1.375,162.206,0.121,3.0
1.375,160.342,0.095,3.0
1.375,158.912,0.087,3.0
0.58,189.764,0.195,1.6
2.17,229.416,0.244,1.6
0.58,140.386,0.047,4.4
2.17,117.314,0.046,4.4
0.25,167.216,0.071,3.0
2.5,137.968,0.05,3.0
1.375,240.863,0.252,1.0
1.375,115.891,0.07,5.0
1.375,139.586,0.08,3.0
1.375,141.538,0.064,3.0
1.375,139.883,0.062,3.0
1.375,139.657,0.065,3.0
1.375,146.755,0.081,3.0
0.58,220.699,0.271,1.6
2.17,303.927,0.274,1.6
0.58,159.526,0.071,4.4
2.17,125.978,0.027,4.4
0.25,191.239,0.132,3.0
2.5,158.28,0.059,3.0
1.375,236.083,0.26,1.0
1.375,130.988,0.044,5.0
1.375,160.969,0.082,3.0
1.375,158.593,0.085,3.0
1.375,161.035,0.061,3.0
1.375,171.769,0.111,3.0
1.375,161.298,0.103,3.0
2.5,114.922,0.056,5.0
2.5,109.23,0.05,5.0
2.5,107.303,0.055,5.0
1.75,81.0,0.112,3.0
1.0,79.0,0.109,10.0
2.0,98.0,0.152,7.0
1.4,118.0,0.205,4.7
1.0,160.0,0.239,3.0
