,TFR,FRR,SIZE,PDI
TFR,1.0,-0.2816898970700884,-0.00997360620113143,-0.2897008648054159
FRR,-0.2816898970700884,1.0,-0.03603814846220894,0.2576046030126978
SIZE,-0.00997360620113143,-0.03603814846220894,1.0,0.6351331961995459
PDI,-0.2897008648054159,0.2576046030126978,0.6351331961995459,1.0
