TFR,FRR,PDI
0.58,4.4,0.047
2.17,4.4,0.046
0.25,3.0,0.071
2.5,3.0,0.05
1.375,1.0,0.252
1.375,5.0,0.07
1.375,3.0,0.08
1.375,3.0,0.064
1.375,3.0,0.062
1.375,3.0,0.065
1.375,3.0,0.081
0.58,1.6,0.271
2.17,1.6,0.274
0.58,4.4,0.071
2.17,4.4,0.027
0.25,3.0,0.132
2.5,3.0,0.059
1.375,1.0,0.26
1.375,5.0,0.044
1.375,3.0,0.082
1.375,3.0,0.085
1.375,3.0,0.061
1.375,3.0,0.111
1.375,3.0,0.103
2.5,5.0,0.056
2.5,5.0,0.05
2.5,5.0,0.055
1.75,3.0,0.112
1.0,10.0,0.109
2.0,7.0,0.152
1.4,4.7,0.205
1.0,3.0,0.239
