2025-07-07 11:22:51,558 - 
|   FRR |   SIZE |   PDI |   P(FRR) |   P(PDI) |   P(SIZE|FRR) |   P(SIZE|PDI) |   p. fattorizzata |   p. empirica |
|-------|--------|-------|----------|----------|---------------|---------------|-------------------|---------------|
|     0 |      0 |     0 |   0.8555 |   0.3148 |     0.376622  |     0.188374  |        0.0191065  |    0.0518519  |
|     0 |      0 |     1 |   0.8555 |   0.2147 |     0.376622  |     0.655333  |        0.0453335  |    0.133333   |
|     0 |      0 |     2 |   0.8555 |   0.263  |     0.376622  |     0.619772  |        0.0525186  |    0.133333   |
|     0 |      0 |     3 |   0.8555 |   0.2074 |     0.376622  |     0.10704   |        0.00715284 |    0.0037037  |
|     0 |      1 |     0 |   0.8555 |   0.3148 |     0.285681  |     0.458704  |        0.0352914  |    0.144444   |
|     0 |      1 |     1 |   0.8555 |   0.2147 |     0.285681  |     0.137867  |        0.00723424 |    0.0222222  |
|     0 |      1 |     2 |   0.8555 |   0.263  |     0.285681  |     0.225475  |        0.0144929  |    0.0444444  |
|     0 |      1 |     3 |   0.8555 |   0.2074 |     0.285681  |     0.303761  |        0.0153972  |    0.0333333  |
|     0 |      2 |     0 |   0.8555 |   0.3148 |     0.207832  |     0.352922  |        0.0197536  |    0.111111   |
|     0 |      2 |     1 |   0.8555 |   0.2147 |     0.207832  |     0.2068    |        0.00789432 |    0.0444444  |
|     0 |      2 |     2 |   0.8555 |   0.263  |     0.207832  |     0.0422053 |        0.00197358 |    0.0111111  |
|     0 |      2 |     3 |   0.8555 |   0.2074 |     0.207832  |     0.0891996 |        0.0032893  |    0.0111111  |
|     0 |      3 |     0 |   0.8555 |   0.3148 |     0.129866  |     0         |        0          |    0          |
|     0 |      3 |     1 |   0.8555 |   0.2147 |     0.129866  |     0         |        0          |    0          |
|     0 |      3 |     2 |   0.8555 |   0.263  |     0.129866  |     0.112548  |        0.00328856 |    0.0296296  |
|     0 |      3 |     3 |   0.8555 |   0.2074 |     0.129866  |     0.5       |        0.0115211  |    0.0814815  |
|     1 |      0 |     0 |   0.0444 |   0.3148 |     0.75      |     0.188374  |        0.00197469 |    0          |
|     1 |      0 |     1 |   0.0444 |   0.2147 |     0.75      |     0.655333  |        0.00468531 |    0.0037037  |
|     1 |      0 |     2 |   0.0444 |   0.263  |     0.75      |     0.619772  |        0.0054279  |    0.0222222  |
|     1 |      0 |     3 |   0.0444 |   0.2074 |     0.75      |     0.10704   |        0.00073926 |    0.00740741 |
|     1 |      1 |     0 |   0.0444 |   0.3148 |     0.25      |     0.458704  |        0.00160284 |    0          |
|     1 |      1 |     1 |   0.0444 |   0.2147 |     0.25      |     0.137867  |        0.00032856 |    0          |
|     1 |      1 |     2 |   0.0444 |   0.263  |     0.25      |     0.225475  |        0.00065823 |    0          |
|     1 |      1 |     3 |   0.0444 |   0.2074 |     0.25      |     0.303761  |        0.0006993  |    0.0111111  |
|     1 |      2 |     0 |   0.0444 |   0.3148 |     0         |     0.352922  |        0          |    0          |
|     1 |      2 |     1 |   0.0444 |   0.2147 |     0         |     0.2068    |        0          |    0          |
|     1 |      2 |     2 |   0.0444 |   0.263  |     0         |     0.0422053 |        0          |    0          |
|     1 |      2 |     3 |   0.0444 |   0.2074 |     0         |     0.0891996 |        0          |    0          |
|     1 |      3 |     0 |   0.0444 |   0.3148 |     0         |     0         |        0          |    0          |
|     1 |      3 |     1 |   0.0444 |   0.2147 |     0         |     0         |        0          |    0          |
|     1 |      3 |     2 |   0.0444 |   0.263  |     0         |     0.112548  |        0          |    0          |
|     1 |      3 |     3 |   0.0444 |   0.2074 |     0         |     0.5       |        0          |    0          |
|     2 |      0 |     0 |   0.0999 |   0.3148 |     0.296296  |     0.188374  |        0.00175528 |    0.00740741 |
|     2 |      0 |     1 |   0.0999 |   0.2147 |     0.296296  |     0.655333  |        0.00416472 |    0.0037037  |
|     2 |      0 |     2 |   0.0999 |   0.263  |     0.296296  |     0.619772  |        0.0048248  |    0.00740741 |
