ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,PDI,SIZE
0.0,9.576,3.192,3.192,1.375,3.0,MQ,0.257,83.696
0.0,9.576,3.192,3.192,1.375,3.0,MQ,0.262,85.223
0.0,9.576,3.192,3.192,1.375,3.0,MQ,0.297,155.532
0.0,9.576,3.192,3.192,1.375,4.4,MQ,0.241,76.973
0.0,9.576,3.192,3.192,1.375,4.4,MQ,0.254,75.772
0.0,9.576,3.192,3.192,1.375,4.4,MQ,0.261,76.545
0.0,9.576,3.192,3.192,2.17,1.6,MQ,0.152,100.593
0.0,9.576,3.192,3.192,2.17,1.6,MQ,0.168,87.316
0.0,9.576,3.192,3.192,2.17,1.6,MQ,0.174,107.924
0.0,9.576,3.192,3.192,2.17,1.727,MQ,0.2,93.904
0.0,9.576,3.192,3.192,2.17,1.727,MQ,0.203,83.115
0.0,9.576,3.192,3.192,2.17,4.4,MQ,0.242,67.343
0.0,9.576,3.192,3.192,2.17,4.4,MQ,0.243,66.039
0.0,9.576,3.192,3.192,2.17,4.4,MQ,0.246,63.026
0.0,9.576,3.192,3.192,2.5,3.0,MQ,0.23,68.868
0.0,9.576,3.192,3.192,2.5,3.0,MQ,0.27,66.672
0.0,9.576,3.192,3.192,2.5,3.0,MQ,0.272,65.3
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,0.284,108.6
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,0.316,124.162
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,0.317,122.904
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,0.387,139.797
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,0.39,133.264
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,0.392,147.172
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.232,68.966
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.234,67.2835
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.235,68.133
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.243,69.696
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.246,68.102
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.271,77.267
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.273,76.921
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.276,76.796
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,0.278,77.503
