4.12: FRR -> AQUEOUS, ESM -> AQUEOUS | similarity_score: 0.8460 | LL: -636.84 | AIC: 1315.68 | BIC: 1393.66
4.13: FRR -> ESM, FRR -> AQUEOUS, ESM -> AQUEOUS | similarity_score: 1.0000 | LL: -621.62 | AIC: 1301.24 | BIC: 1408.94
4.14: ESM -> AQUEOUS, ESM -> FRR | similarity_score: 0.7627 | LL: -631.40 | AIC: 1300.81 | BIC: 1371.37
4.15: ESM -> AQUEOUS, AQUEOUS -> FRR | similarity_score: 0.5162 | LL: -642.40 | AIC: 1310.79 | BIC: 1359.07
4.16: ESM -> AQUEOUS, ESM -> FRR, AQUEOUS -> FRR | similarity_score: 1.0000 | LL: -621.62 | AIC: 1301.24 | BIC: 1408.94
4.17: ESM -> FRR, FRR -> AQUEOUS | similarity_score: 0.8027 | LL: -637.75 | AIC: 1309.50 | BIC: 1372.63
4.18: ESM -> FRR, ESM -> AQUEOUS, FRR -> AQUEOUS | similarity_score: 1.0000 | LL: -621.62 | AIC: 1301.24 | BIC: 1408.94
5.1: AQUEOUS -> FRR, AQUEOUS -> HSPC | similarity_score: 0.5534 | LL: -626.91 | AIC: 1287.81 | BIC: 1350.94
5.2: AQUEOUS -> FRR, FRR -> HSPC | similarity_score: 0.6863 | LL: -643.29 | AIC: 1332.58 | BIC: 1418.00
5.3: AQUEOUS -> HSPC, FRR -> HSPC | similarity_score: 0.6234 | LL: -610.16 | AIC: 1298.33 | BIC: 1443.16
5.4: AQUEOUS -> FRR, AQUEOUS -> HSPC, FRR -> HSPC | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
5.5: AQUEOUS -> HSPC, HSPC -> FRR | similarity_score: 0.0446 | LL: -611.17 | AIC: 1276.34 | BIC: 1376.61
5.6: AQUEOUS -> FRR, HSPC -> FRR | similarity_score: 0.7040 | LL: -642.29 | AIC: 1354.57 | BIC: 1484.55
5.7: AQUEOUS -> HSPC, AQUEOUS -> FRR, HSPC -> FRR | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
5.8: FRR -> AQUEOUS, FRR -> HSPC | similarity_score: 0.6863 | LL: -643.29 | AIC: 1332.58 | BIC: 1418.00
5.9: FRR -> AQUEOUS, AQUEOUS -> HSPC | similarity_score: 0.5534 | LL: -626.91 | AIC: 1287.81 | BIC: 1350.94
5.10: FRR -> AQUEOUS, FRR -> HSPC, AQUEOUS -> HSPC | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
5.11: FRR -> HSPC, HSPC -> AQUEOUS | similarity_score: 0.0412 | LL: -611.17 | AIC: 1276.34 | BIC: 1376.61
5.12: FRR -> AQUEOUS, HSPC -> AQUEOUS | similarity_score: 0.8180 | LL: -625.90 | AIC: 1309.80 | BIC: 1417.50
5.13: FRR -> HSPC, FRR -> AQUEOUS, HSPC -> AQUEOUS | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
5.14: HSPC -> AQUEOUS, HSPC -> FRR | similarity_score: 0.7788 | LL: -611.17 | AIC: 1276.34 | BIC: 1376.61
5.15: HSPC -> AQUEOUS, AQUEOUS -> FRR | similarity_score: 0.5534 | LL: -626.91 | AIC: 1287.81 | BIC: 1350.94
5.16: HSPC -> AQUEOUS, HSPC -> FRR, AQUEOUS -> FRR | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
5.17: HSPC -> FRR, FRR -> AQUEOUS | similarity_score: 0.6863 | LL: -643.29 | AIC: 1332.58 | BIC: 1418.00
5.18: HSPC -> FRR, HSPC -> AQUEOUS, FRR -> AQUEOUS | similarity_score: 1.0000 | LL: -605.94 | AIC: 1293.88 | BIC: 1446.14
6.1: AQUEOUS -> FRR, AQUEOUS -> CHOL | similarity_score: 0.5452 | LL: -653.36 | AIC: 1332.71 | BIC: 1380.99
6.2: AQUEOUS -> FRR, FRR -> CHOL | similarity_score: 0.7831 | LL: -644.12 | AIC: 1322.24 | BIC: 1385.37
6.3: AQUEOUS -> CHOL, FRR -> CHOL | similarity_score: 0.5908 | LL: -637.67 | AIC: 1329.33 | BIC: 1429.60
6.4: AQUEOUS -> FRR, AQUEOUS -> CHOL, FRR -> CHOL | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
6.5: AQUEOUS -> CHOL, CHOL -> FRR | similarity_score: 0.0525 | LL: -640.57 | AIC: 1319.14 | BIC: 1389.70
6.6: AQUEOUS -> FRR, CHOL -> FRR | similarity_score: 0.8478 | LL: -641.22 | AIC: 1332.43 | BIC: 1425.28
6.7: AQUEOUS -> CHOL, AQUEOUS -> FRR, CHOL -> FRR | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
6.8: FRR -> AQUEOUS, FRR -> CHOL | similarity_score: 0.7831 | LL: -644.12 | AIC: 1322.24 | BIC: 1385.37
6.9: FRR -> AQUEOUS, AQUEOUS -> CHOL | similarity_score: 0.5452 | LL: -653.36 | AIC: 1332.71 | BIC: 1380.99
6.10: FRR -> AQUEOUS, FRR -> CHOL, AQUEOUS -> CHOL | similarity_score: 1.0000 | LL: -633.44 | AIC: 1324.88 | BIC: 1432.58
