ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,3.0,MQ,YES,117.567,0.327,0.3156388531625271,95.22862443521345
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.04,3.0,MQ,YES,124.403,0.403,0.3161465296149254,95.90319989148888
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.04,50.0,MQ,NO,169.247,0.531,0.66633076608181,541.9044720458984
04SD,HSPC,Droplet,0.0,3.0,1.0,1.0,2.04,3.0,PBS,YES,73.088,0.238,0.3158378756046295,95.35209203017762
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.04,50.0,MQ,NO,141.591,0.597,0.6654566496610641,535.4650378417969
06SD,HSPC,Droplet,0.0,9.0,3.0,3.0,2.04,50.0,PBS,YES,135.642,0.428,0.32532474145293233,81.60034138270787
07SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.04,3.0,PBS,NO,242.045,0.591,0.666782733798027,548.3035803222656
08SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,50.0,MQ,YES,19.897,0.443,0.32815256223082545,83.90856743403843
09SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.04,50.0,PBS,NO,593.99,0.61,0.6706178107857704,558.4266172790527
10SD,HSPC,Droplet,0.0,3.75,0.0,1.25,2.04,50.0,PBS,YES,138.894,0.49,0.32799558982253074,83.38963825770787
11SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.04,3.0,PBS,YES,325.634,0.489,0.3160613937675953,96.20197834913047
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.04,3.0,MQ,NO,277.332,0.735,0.6706556418538093,551.7245722961426
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,2.04,50.0,PBS,YES,52.067,0.26,0.3288338354229927,86.1444577407837
14SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,50.0,PBS,YES,101.454,0.35,0.32837425246834756,84.56137325831821
15SD,HSPC,Droplet,0.0,3.75,0.0,1.25,2.04,3.0,PBS,YES,77.448,0.233,0.3167803332209587,95.99347854356975
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.04,50.0,MQ,YES,177.522,0.431,0.32860208362340926,85.46298168182373
17SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,3.0,PBS,NO,255.405,0.783,0.67140011459589,577.6007940673828
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.04,3.0,MQ,NO,198.619,0.519,0.6706556418538093,551.7245722961426
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.04,50.0,MQ,YES,131.205,0.38,0.32786760970950124,82.95426693507603
20SD,HSPC,Droplet,0.0,11.25,0.0,3.75,2.04,3.0,PBS,NO,351.504,0.558,0.6659435802698135,542.3732914733887
21SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.04,3.0,MQ,YES,135.609,0.369,0.3137278324365616,93.09912276553639
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.04,3.0,MQ,YES,146.776,0.44,0.31343596294522286,93.27542704677113
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.04,50.0,MQ,YES,125.959,0.339,0.3273105461895466,82.78316410609654
24SD,HSPC,Droplet,0.0,9.0,3.0,3.0,2.04,50.0,PBS,YES,102.376,0.385,0.32532474145293233,81.60034138270787
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.04,3.0,MQ,YES,116.839,0.082,0.0893567630276084,94.68318610402167
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.04,3.0,MQ,NO,1929.916,0.842,0.8393593329191208,2535.4946630859376
03SM,ESM,Droplet,20.0,0.0,20.0,0.0,2.04,50.0,MQ,YES,133.051,0.186,0.06425688956692696,137.1078140258789
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.04,3.0,PBS,YES,91.433,0.1,0.09001162119209766,94.69996846682338
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.04,50.0,MQ,NO,700.845,0.681,0.8396281260251999,2428.8178125
06SM,ESM,Droplet,20.0,0.0,20.0,0.0,2.04,50.0,PBS,YES,122.961,0.236,0.06453276051968218,136.61064735412597
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,2.04,3.0,PBS,YES,163.558,0.316,0.07943691942840815,158.37848358154298
08SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.04,50.0,MQ,YES,69.723,0.067,0.08694243697449565,80.92341504575018
09SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.04,50.0,PBS,NO,1794.372,0.936,0.7918936738371849,1938.002689666748
10SM,ESM,Droplet,5.0,0.0,0.0,0.0,2.04,50.0,PBS,NO,301.615,0.521,0.7939792114496231,1947.6432676696777
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,2.04,3.0,PBS,NO,1242.327,0.826,0.8392254561185837,2517.5043853759767
12SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.04,3.0,MQ,NO,2100.262,0.999,0.7924601054191589,1931.0687724304198
