ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.71,23.0,MQ,YES,117.567,0.327,0.35433159202337267,115.66026012420654
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.7060709978109694,23.0,MQ,YES,124.403,0.403,0.3275779837369919,93.2745804525103
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.375,23.0,MQ,NO,169.247,0.531,0.6666895896196365,464.03708541870117
04SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,23.0,PBS,YES,73.088,0.238,0.32691584691405295,90.99679958343506
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.71,23.0,MQ,NO,141.591,0.597,0.6657461857795716,458.0887390136719
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,23.0,PBS,YES,135.642,0.428,0.35543528214097025,111.83091815948487
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,2.0,23.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,23.0,MQ,YES,19.897,0.443,0.32763987764716146,90.77274803161622
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,23.0,PBS,NO,593.99,0.61,0.6707497641444207,480.0929573059082
10SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,23.0,PBS,YES,138.894,0.49,0.3566147936880589,119.16488952636719
11SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,23.0,PBS,YES,325.634,0.489,0.3657162980735302,118.68181465148926
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.17,23.0,MQ,NO,277.332,0.735,0.6705323231220245,471.7848719787598
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,23.0,PBS,YES,52.067,0.26,0.328679810911417,94.40772351233164
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,23.0,PBS,YES,101.454,0.35,0.35754840180277825,114.12217906951905
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,23.0,PBS,YES,77.448,0.233,0.3275825606286526,91.49475927829742
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.37,23.0,MQ,YES,177.522,0.431,0.3641724969446659,119.06018287658691
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,23.0,PBS,NO,255.405,0.783,0.6711967870593071,498.9138703918457
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,23.0,MQ,NO,198.619,0.519,0.6705054926872254,473.40275604248046
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.375,23.0,MQ,YES,131.205,0.38,0.35477521032094955,119.882155418396
20SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,23.0,PBS,NO,351.504,0.558,0.6660320746898651,463.52914154052735
21SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,23.0,MQ,YES,135.609,0.369,0.35348308384418486,112.41866439819336
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.71,23.0,MQ,YES,146.776,0.44,0.3258433337509632,88.55321497269831
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,23.0,MQ,YES,125.959,0.339,0.3267991177737713,90.26916484832763
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.25,23.0,PBS,YES,102.376,0.385,0.3249550651013851,88.19907684428145
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,23.0,MQ,YES,116.839,0.082,0.13529275551438333,101.97593146006265
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.17,23.0,MQ,NO,1929.916,0.842,0.8392731541395188,2224.3189807128906
03SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.375,23.0,MQ,YES,133.051,0.186,0.133163558319211,145.04772506713869
04SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,23.0,PBS,YES,91.433,0.1,0.08582800302654504,85.22675404326137
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,2.04,23.0,MQ,NO,700.845,0.681,0.8392731541395188,2224.3189807128906
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,23.0,PBS,YES,122.961,0.236,0.1331215387582779,144.10357078552246
07SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,23.0,PBS,YES,163.558,0.316,0.0714763207636064,136.59870956420897
08SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,23.0,MQ,YES,69.723,0.067,0.08778329007327557,85.1652335822353
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,23.0,PBS,NO,1794.372,0.936,0.7859727546572686,1574.6073472595215
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,23.0,PBS,NO,301.615,0.521,0.7755196914076805,1588.8683561706544
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,23.0,PBS,NO,1242.327,0.826,0.8358398354053498,2206.440166015625
12SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.17,23.0,MQ,NO,2100.262,0.999,0.7757409620285034,1567.3145994567872
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,23.0,PBS,NO,1787.444,0.994,0.8393594115972519,2194.978645629883
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,23.0,PBS,YES,133.599,0.269,0.1347884301841259,101.78896713256836
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,23.0,PBS,NO,2254.269,1.0,0.7880718356370926,1586.114037322998
16SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,23.0,MQ,NO,731.331,0.991,0.835643926858902,2209.6574133300783
17SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,23.0,PBS,NO,571.168,0.558,0.7733063143491745,1593.796899871826
18SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.58,23.0,MQ,NO,554.177,0.595,0.7869362270832062,1562.8511094665528
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.04,23.0,MQ,YES,109.153,0.284,0.135338046066463,119.16250503540039
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,23.0,PBS,NO,6478.919,1.0,0.8359721231460572,2236.5228125
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.375,23.0,MQ,YES,108.176,0.106,0.13377398304641247,143.93830741882323
22SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.0439290021890306,23.0,MQ,YES,116.98,0.128,0.06953410332366115,136.123539352417
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.375,23.0,MQ,YES,70.824,0.118,0.08529058020561933,84.7641859677712
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,23.0,PBS,YES,85.425,0.145,0.07131891540207323,135.56753784179688
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.7060709978109694,23.0,MQ,YES,111.287,0.294,0.3745077158510685,100.40288146264214
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.375,23.0,MQ,YES,104.721,0.372,0.3745077158510685,100.40288146264214
03CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.0,23.0,MQ,YES,77.048,0.221,0.3263040865957737,83.68999580383301
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,23.0,MQ,YES,79.661,0.268,0.3263040865957737,83.68999580383301
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,23.0,MQ,YES,92.827,0.188,0.26918206214904783,86.04019020875296
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,23.0,MQ,YES,83.507,0.278,0.26918206214904783,86.04019020875296
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,23.0,MQ,YES,72.548,0.268,0.2658942349255085,78.178967104608
08CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,74.122,0.309,0.2658942349255085,78.178967104608
09CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.04,23.0,MQ,YES,133.264,0.39,0.28175437450408936,78.11452358697552
10CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,23.0,MQ,YES,81.069,0.312,0.28175437450408936,78.11452358697552
11CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,23.0,MQ,YES,108.6,0.284,0.2979942600429058,102.00733428955078
12CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,23.0,MQ,YES,77.533,0.291,0.2806269836425781,77.8494537069302
13CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.375,23.0,MQ,YES,86.352,0.269,0.32735476046800616,85.71261959075927
14CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,23.0,MQ,YES,68.453,0.282,0.26025074124336245,78.19649093136799
15CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.0,23.0,MQ,YES,70.038,0.234,0.28175437450408936,78.11452358697552
16CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.04,23.0,MQ,YES,68.102,0.246,0.28175437450408936,78.11452358697552
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,23.0,MQ,YES,69.696,0.243,0.28175437450408936,78.11452358697552
18CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,23.0,MQ,YES,68.133,0.235,0.28175437450408936,78.11452358697552
19CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.0,23.0,MQ,YES,64.529,0.234,0.28175437450408936,78.11452358697552
20CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.0439290021890306,23.0,MQ,YES,68.966,0.232,0.28175437450408936,78.11452358697552
21CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,23.0,MQ,YES,87.575,0.327,0.3745077158510685,100.40288146264214
22CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,23.0,MQ,YES,109.953,0.476,0.3745077158510685,100.40288146264214
23CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,86.444,0.343,0.3263040865957737,83.68999580383301
24CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,23.0,MQ,YES,94.499,0.355,0.3263040865957737,83.68999580383301
25CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,23.0,MQ,YES,93.444,0.183,0.26918206214904783,86.04019020875296
26CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.58,23.0,MQ,YES,85.915,0.258,0.26918206214904783,86.04019020875296
27CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,23.0,MQ,YES,62.883,0.198,0.2658942349255085,78.178967104608
28CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,23.0,MQ,YES,71.617,0.292,0.2658942349255085,78.178967104608
29CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,23.0,MQ,YES,139.797,0.387,0.28175437450408936,78.11452358697552
30CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,23.0,MQ,YES,92.98,0.361,0.28175437450408936,78.11452358697552
