ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,117.567,0.327,0.2552197879056136,104.83917925516764
02SD,HSPC,Micromixer,0.0,0.0,5.0,3.192,1.0,3.0,MQ,YES,124.403,0.403,0.28752302321590556,96.35526296634598
03SD,HSPC,Droplet,0.0,0.0,5.0,3.0,0.25,50.0,MQ,NO,169.247,0.531,0.6664151746034622,462.81881393432616
04SD,HSPC,Micromixer,0.0,0.0,5.0,2.514,1.0,3.0,PBS,YES,73.088,0.238,0.24308979646783782,96.25144313952167
05SD,HSPC,Micromixer,0.0,9.0,5.0,0.0,1.0,50.0,MQ,NO,141.591,0.597,0.6653489845991135,460.3230540466309
06SD,HSPC,Micromixer,0.0,9.576,5.0,0.0,0.25,50.0,PBS,YES,135.642,0.428,0.2696958063542843,102.96819946289062
07SD,HSPC,Droplet,0.0,9.576,5.0,0.0,1.0,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,0.0,5.0,3.192,1.0,50.0,MQ,YES,19.897,0.443,0.26424116000533104,84.88373481432598
09SD,HSPC,Droplet,0.0,0.0,5.0,0.0,1.0,50.0,PBS,NO,593.99,0.61,0.6704658755660057,481.9194273376465
10SD,HSPC,Micromixer,0.0,0.0,5.0,3.192,0.25,50.0,PBS,YES,138.894,0.49,0.26494050413370135,102.57397555033366
11SD,HSPC,Droplet,0.0,0.0,5.0,3.3520000000000003,0.25,3.0,PBS,YES,325.634,0.489,0.2961134978383779,104.04224727630616
12SD,HSPC,Droplet,0.0,8.547600000000001,5.0,2.8492,0.25,3.0,MQ,NO,277.332,0.735,0.6704906564950943,474.1718341064453
13SD,HSPC,Droplet,0.0,10.056,5.0,2.8492,1.0,50.0,PBS,YES,52.067,0.26,0.2868230992555618,88.25351499410776
14SD,HSPC,Droplet,0.0,7.542000000000001,5.0,3.3520000000000003,0.25,50.0,PBS,YES,101.454,0.35,0.26494050413370135,102.34235877990723
15SD,HSPC,Micromixer,0.0,3.75,5.0,3.192,1.0,3.0,PBS,YES,77.448,0.233,0.24308979646783782,96.31329403911207
16SD,HSPC,Droplet,0.0,9.0,5.0,3.3520000000000003,0.25,50.0,MQ,YES,177.522,0.431,0.2934949497878552,101.54020919799805
17SD,HSPC,Droplet,0.0,7.542000000000001,5.0,3.192,0.25,3.0,PBS,NO,255.405,0.783,0.6709840163588524,498.7817642211914
18SD,HSPC,Droplet,0.0,0.0,5.0,3.192,1.0,3.0,MQ,NO,198.619,0.519,0.6705275866389274,475.70978302001953
19SD,HSPC,Micromixer,0.0,0.0,5.0,0.0,0.25,50.0,MQ,YES,131.205,0.38,0.26494050413370135,102.55518961588541
20SD,HSPC,Micromixer,0.0,0.0,5.0,3.3520000000000003,0.25,3.0,PBS,NO,351.504,0.558,0.6659241783618927,466.67685546875
21SD,HSPC,Micromixer,0.0,7.542000000000001,5.0,3.3520000000000003,0.25,3.0,MQ,YES,135.609,0.369,0.2549689828879783,105.15008350372314
22SD,HSPC,Droplet,0.0,0.0,5.0,0.0,1.0,3.0,MQ,YES,146.776,0.44,0.24329749102813333,95.74598383009697
23SD,HSPC,Micromixer,0.0,8.547600000000001,5.0,0.0,1.0,50.0,MQ,YES,125.959,0.339,0.26424116000533104,84.53385440326875
24SD,HSPC,Micromixer,0.0,8.547600000000001,5.0,0.0,1.0,50.0,PBS,YES,102.376,0.385,0.2690692423284054,85.0613616846944
01SM,ESM,Micromixer,5.0,0.0,5.0,3.75,0.25,3.0,MQ,YES,116.839,0.082,0.13547586515545845,104.4409785715739
02SM,ESM,Micromixer,20.0,0.0,5.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842,0.8369355335831642,2246.618870239258
03SM,ESM,Droplet,20.0,0.0,5.0,0.0,0.25,50.0,MQ,YES,133.051,0.186,0.1330288353562355,145.64517761230468
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1,0.10347598999738693,96.29872920466693
05SM,ESM,Micromixer,20.0,0.0,5.0,0.0,1.0,50.0,MQ,NO,700.845,0.681,0.8368184751272202,2116.237387084961
06SM,ESM,Micromixer,20.0,0.0,5.0,0.0,0.25,50.0,PBS,YES,122.961,0.236,0.1330689536035061,144.70444297790527
07SM,ESM,Droplet,20.0,11.5644,5.0,3.3520000000000003,1.0,3.0,PBS,YES,163.558,0.316,0.10238760240375995,158.80843353271484
08SM,ESM,Droplet,5.0,9.576,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067,0.08927895206958056,85.03793067614238
09SM,ESM,Droplet,5.0,9.576,5.0,3.192,1.0,50.0,PBS,NO,1794.372,0.936,0.7856070107221603,1588.3400846862794
10SM,ESM,Micromixer,5.0,8.547600000000001,5.0,0.0,0.25,50.0,PBS,NO,301.615,0.521,0.7745995259284973,1601.5467582702636
11SM,ESM,Droplet,20.0,9.576,5.0,3.8548,0.25,3.0,PBS,NO,1242.327,0.826,0.8335693404078484,2230.070999145508
12SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999,0.775067994594574,1583.4796250915526
13SM,ESM,Droplet,20.0,0.0,5.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994,0.836902865767479,2088.0340167236327
14SM,ESM,Droplet,5.0,0.0,5.0,3.8548,0.25,50.0,PBS,YES,133.599,0.269,0.13373214077204465,101.83241027832031
15SM,ESM,Micromixer,5.0,9.576,5.0,2.8492,1.0,3.0,PBS,NO,2254.269,1.0,0.7878817108273506,1601.1204203796387
16SM,ESM,Droplet,20.0,10.056,5.0,0.0,0.25,50.0,MQ,NO,731.331,0.991,0.8333058312535286,2116.7227569580077
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,PBS,NO,571.168,0.558,0.7735632079839706,1593.796899871826
18SM,ESM,Droplet,5.0,3.75,5.0,0.0,1.0,3.0,MQ,NO,554.177,0.595,0.7869001135230065,1579.2577201843262
19SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,50.0,MQ,YES,109.153,0.284,0.13418995391577482,102.1335333887736
20SM,ESM,Micromixer,20.0,0.0,5.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0,0.833776832818985,2258.3470526123047
21SM,ESM,Micromixer,20.0,9.0,5.0,3.0,0.25,3.0,MQ,YES,108.176,0.106,0.1360053864866495,170.86930458068846
22SM,ESM,Droplet,20.0,10.056,5.0,3.8548,1.0,3.0,MQ,YES,116.98,0.128,0.10083328016102314,158.80843353271484
23SM,ESM,Micromixer,5.0,8.547600000000001,5.0,3.192,1.0,50.0,MQ,YES,70.824,0.118,0.08678624220192432,84.70359755970185
24SM,ESM,Micromixer,20.0,10.056,5.0,0.0,1.0,50.0,PBS,YES,85.425,0.145,0.08523416817188263,136.03483360290528
01CD,HSPC,Micromixer,0.0,7.542000000000001,5.0,0.0,0.71,2.0,MQ,YES,111.287,0.294,0.2716004430502653,101.04136892208155
02CD,HSPC,Micromixer,0.0,0.0,5.0,3.3520000000000003,0.71,23.0,MQ,YES,104.721,0.372,0.29294184148311614,94.62879820346832
03CD,HSPC,Micromixer,0.0,0.0,5.0,3.0,2.04,2.0,MQ,YES,77.048,0.221,0.26790794372558596,93.51820797073955
04CD,HSPC,Micromixer,0.0,9.576,5.0,3.192,2.04,23.0,MQ,YES,79.661,0.268,0.27842129692435263,79.95822764074227
05CD,HSPC,Micromixer,0.0,11.5644,5.0,3.3520000000000003,0.71,2.0,MQ,YES,92.827,0.188,0.2129220700263977,97.05547297334314
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.0,1.25,0.71,23.0,MQ,YES,83.507,0.278,0.26918206214904783,88.51521561463674
07CD,HSPC,Micromixer,0.0,0.0,5.0,3.3520000000000003,2.04,2.0,MQ,YES,72.548,0.268,0.2090653008967638,92.49548467573106
08CD,HSPC,Micromixer,0.0,0.0,5.0,3.192,2.04,23.0,MQ,YES,74.122,0.309,0.2658942349255085,78.20743355816025
09CD,HSPC,Micromixer,0.0,10.056,5.0,1.0,1.37,1.0,MQ,YES,133.264,0.39,0.349549975246191,130.85431274414063
10CD,HSPC,Micromixer,0.0,0.0,5.0,0.0,1.37,50.0,MQ,YES,81.069,0.312,0.28582262188196184,79.83668770156385
11CD,HSPC,Micromixer,0.0,9.576,5.0,2.8492,0.25,7.0,MQ,YES,108.6,0.284,0.2915307143330574,101.87453556060791
12CD,HSPC,Micromixer,0.0,0.0,5.0,3.192,2.5,7.0,MQ,YES,77.533,0.291,0.27696682527661326,77.81608548156005
13CD,HSPC,Micromixer,0.0,0.0,5.0,0.0,1.37,7.0,MQ,YES,86.352,0.269,0.27942762061953547,80.59831013245996
14CD,HSPC,Micromixer,0.0,9.576,5.0,3.3520000000000003,1.37,7.0,MQ,YES,68.453,0.282,0.25945984035730363,78.19612082371722
