ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.375,3.0,PBS,YES,108.176,0.106,0.1359437841922045,171.04890853881835
22SM,ESM,Droplet,20.0,0.0,20.0,0.0,2.5,3.0,PBS,YES,116.98,0.128,0.09180967405438423,159.78640747070312
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,50.0,PBS,YES,70.824,0.118,0.0872861211001873,85.03529949006581
24SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,PBS,YES,85.425,0.145,0.07228265732526779,136.94225372314452
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,PBS,YES,111.287,0.294,0.37128196999430657,106.27694578806559
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,PBS,YES,104.721,0.372,0.37418268725275994,100.68379416402182
03CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,PBS,YES,77.048,0.221,0.3118605937063694,95.53702701120393
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,PBS,YES,79.661,0.268,0.3263917165994644,83.91945209503174
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,PBS,YES,92.827,0.188,0.2129220700263977,95.02667135167204
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,PBS,YES,83.507,0.278,0.26918206214904783,86.4830837361018
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,PBS,YES,72.548,0.268,0.2090653008967638,92.49781416279806
08CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,PBS,YES,74.122,0.309,0.2658942349255085,78.53349726226259
09CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,1.0,PBS,YES,133.264,0.39,0.35987616688013074,132.836463470459
10CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,50.0,PBS,YES,81.069,0.312,0.29035881623625753,79.96728416944482
11CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,108.6,0.284,0.2979942600429058,102.36718231201172
12CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,77.533,0.291,0.2806269836425781,78.19538107640523
13CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,PBS,YES,86.352,0.269,0.3182782584428787,86.4186801147461
14CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,PBS,YES,68.453,0.282,0.2557695484161377,78.56201470131201
15CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,PBS,YES,70.038,0.234,0.28175437450408936,78.43676434343716
16CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,68.102,0.246,0.28175437450408936,78.43676434343716
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,69.696,0.243,0.28175437450408936,78.43676434343716
18CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,68.133,0.235,0.28175437450408936,78.43676434343716
19CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,64.529,0.234,0.28175437450408936,78.43676434343716
20CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.0,7.0,PBS,YES,68.966,0.232,0.28175437450408936,78.43676434343716
21CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,PBS,YES,87.575,0.327,0.37128196999430657,106.27694578806559
22CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,PBS,YES,109.953,0.476,0.37418268725275994,100.68379416402182
23CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,PBS,YES,86.444,0.343,0.3118605937063694,95.53702701120393
24CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,PBS,YES,94.499,0.355,0.3263917165994644,83.91945209503174
25CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,PBS,YES,93.444,0.183,0.2129220700263977,95.02667135167204
26CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,PBS,YES,85.915,0.258,0.26918206214904783,86.4830837361018
27CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,PBS,YES,62.883,0.198,0.2090653008967638,92.49781416279806
28CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,PBS,YES,71.617,0.292,0.2658942349255085,78.53349726226259
29CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,1.0,PBS,YES,139.797,0.387,0.35987616688013074,132.836463470459
30CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.0,50.0,PBS,YES,92.98,0.361,0.29035881623625753,79.96728416944482
31CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,PBS,YES,124.162,0.316,0.2979942600429058,102.36718231201172
