ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
18SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.375,3.5002575415843395,MQ,NO,554.177,0.595,0.7867065814137458,1562.8511094665528
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.375,3.5002575415843395,MQ,YES,109.153,0.284,0.13616714596748353,119.57747192382813
20SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,3.5002575415843395,PBS,NO,6478.919,1.0,0.8359721231460572,2235.895157470703
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.17,3.5002575415843395,MQ,YES,108.176,0.106,0.13350027411431076,171.04890853881835
22SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.58,3.5002575415843395,MQ,YES,116.98,0.128,0.07138641213827171,159.78640747070312
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.58,3.5002575415843395,MQ,YES,70.824,0.118,0.0942844527711471,93.78302330356638
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,3.5002575415843395,PBS,YES,85.425,0.145,0.07277651574050664,159.78640747070312
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.375,3.5002575415843395,MQ,YES,111.287,0.294,0.3713025663793087,104.44699304508029
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,3.5002575415843395,MQ,YES,104.721,0.372,0.3713025663793087,104.44699304508029
03CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,3.5002575415843395,MQ,YES,77.048,0.221,0.3148157016932964,87.45394262504578
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,3.5002575415843395,MQ,YES,79.661,0.268,0.3148157016932964,87.45394262504578
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,3.5002575415843395,MQ,YES,92.827,0.188,0.2551829455323169,94.34884184140773
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.5002575415843395,MQ,YES,83.507,0.278,0.2551829455323169,94.34884184140773
07CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,3.5002575415843395,MQ,YES,72.548,0.268,0.2403879052629838,86.01095635340764
08CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,YES,74.122,0.309,0.2403879052629838,86.01095635340764
09CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.0,3.5002575415843395,MQ,YES,133.264,0.39,0.28731371182002197,85.94737335205077
10CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.04,3.5002575415843395,MQ,YES,81.069,0.312,0.28731371182002197,85.94737335205077
11CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,108.6,0.284,0.2957075144350529,104.07455977121988
12CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,77.533,0.291,0.28505133107304576,86.00504837036132
13CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,2.04,3.5002575415843395,MQ,YES,86.352,0.269,0.3183641354739666,87.8515864944458
14CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,2.17,3.5002575415843395,MQ,YES,68.453,0.282,0.24256856674814464,86.14120943949773
15CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.71,3.5002575415843395,MQ,YES,70.038,0.234,0.28731371182002197,85.94737335205077
16CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.17,3.5002575415843395,MQ,YES,68.102,0.246,0.28731371182002197,85.94737335205077
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.17,3.5002575415843395,MQ,YES,69.696,0.243,0.28731371182002197,85.94737335205077
18CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,68.133,0.235,0.28731371182002197,85.94737335205077
19CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,64.529,0.234,0.28731371182002197,85.94737335205077
20CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,1.0,3.5002575415843395,MQ,YES,68.966,0.232,0.28731371182002197,85.94737335205077
21CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,3.5002575415843395,MQ,YES,87.575,0.327,0.3713025663793087,104.44699304508029
22CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.0439290021890306,3.5002575415843395,MQ,YES,109.953,0.476,0.3713025663793087,104.44699304508029
23CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,3.5002575415843395,MQ,YES,86.444,0.343,0.3148157016932964,87.45394262504578
24CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.58,3.5002575415843395,MQ,YES,94.499,0.355,0.3148157016932964,87.45394262504578
25CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.5002575415843395,MQ,YES,93.444,0.183,0.2551829455323169,94.34884184140773
26CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.58,3.5002575415843395,MQ,YES,85.915,0.258,0.2551829455323169,94.34884184140773
27CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.58,3.5002575415843395,MQ,YES,62.883,0.198,0.2403879052629838,86.01095635340764
28CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.5002575415843395,MQ,YES,71.617,0.292,0.2403879052629838,86.01095635340764
29CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,139.797,0.387,0.28731371182002197,85.94737335205077
30CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,3.5002575415843395,MQ,YES,92.98,0.361,0.28731371182002197,85.94737335205077
31CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,3.5002575415843395,MQ,YES,124.162,0.316,0.2957075144350529,104.07455977121988
32CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,73.083,0.334,0.28505133107304576,86.00504837036132
33CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,3.5002575415843395,MQ,YES,96.016,0.284,0.3183641354739666,87.8515864944458
34CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,YES,67.366,0.273,0.24256856674814464,86.14120943949773
35CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,3.5002575415843395,MQ,YES,71.926,0.295,0.28731371182002197,85.94737335205077
36CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,81.85,0.335,0.28731371182002197,85.94737335205077
37CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.58,3.5002575415843395,MQ,YES,78.159,0.326,0.28731371182002197,85.94737335205077
38CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,3.5002575415843395,MQ,YES,72.999,0.295,0.28731371182002197,85.94737335205077
39CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,73.901,0.327,0.28731371182002197,85.94737335205077
40CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.0439290021890306,3.5002575415843395,MQ,YES,76.205,0.354,0.28731371182002197,85.94737335205077
41CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.375,3.5002575415843395,MQ,YES,130.717,0.402,0.3713025663793087,104.44699304508029
42CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,1.37,3.5002575415843395,MQ,YES,102.022,0.354,0.3713025663793087,104.44699304508029
43CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,3.5002575415843395,MQ,YES,93.195,0.262,0.3148157016932964,87.45394262504578
44CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,3.5002575415843395,MQ,YES,93.161,0.376,0.3148157016932964,87.45394262504578
45CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.37,3.5002575415843395,MQ,YES,96.056,0.164,0.2551829455323169,94.34884184140773
46CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.5002575415843395,MQ,YES,77.87,0.242,0.2551829455323169,94.34884184140773
47CD,HSPC,Droplet,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.5002575415843395,MQ,YES,67.582,0.145,0.2403879052629838,86.01095635340764
48CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,YES,73.816,0.265,0.2403879052629838,86.01095635340764
49CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,147.172,0.392,0.28731371182002197,85.94737335205077
50CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,3.5002575415843395,MQ,YES,94.633,0.38,0.28731371182002197,85.94737335205077
51CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,2.17,3.5002575415843395,MQ,YES,122.904,0.317,0.2957075144350529,104.07455977121988
52CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,74.457,0.285,0.28505133107304576,86.00504837036132
53CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,0.71,3.5002575415843395,MQ,YES,85.58,0.333,0.3183641354739666,87.8515864944458
54CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,2.17,3.5002575415843395,MQ,YES,67.136,0.219,0.24256856674814464,86.14120943949773
55CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,77.267,0.271,0.28731371182002197,85.94737335205077
56CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,76.796,0.276,0.28731371182002197,85.94737335205077
57CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.375,3.5002575415843395,MQ,YES,76.921,0.273,0.28731371182002197,85.94737335205077
58CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.71,3.5002575415843395,MQ,YES,73.733,0.286,0.28731371182002197,85.94737335205077
59CD,HSPC,Droplet,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,3.5002575415843395,MQ,YES,76.425,0.288,0.28731371182002197,85.94737335205077
60CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,3.5002575415843395,MQ,YES,77.503,0.278,0.28731371182002197,85.94737335205077
61CD,HSPC,Droplet,0.0,7.542000000000001,6.704000000000001,2.514,0.25,3.5002575415843395,MQ,YES,70.04,0.171,0.24158831155165272,86.14120943949773
62CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,3.5002575415843395,MQ,YES,57.7,0.196,0.2398742026090622,86.17839661524846
