ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,2.5,1.6,MQ,YES,117.567,0.327,0.35448009431362154,126.07861484527588
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,2.0439290021890306,1.6,MQ,YES,124.403,0.403,0.31671312540769575,130.45494369506835
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,2.17,1.6,MQ,NO,169.247,0.531,0.6666895896196365,612.5950759887695
04SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,1.6,PBS,YES,73.088,0.238,0.3156375677883625,126.31028522491455
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.58,1.6,MQ,NO,141.591,0.597,0.6657461857795716,606.8800416564941
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,1.6,PBS,YES,135.642,0.428,0.354060186073184,126.87537940979004
07SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,1.6,PBS,NO,242.045,0.591,0.666782733798027,617.916961364746
08SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.375,1.6,MQ,YES,19.897,0.443,0.3152624897658825,126.28736415863037
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,1.6,PBS,NO,593.99,0.61,0.6708265528082847,628.0863627624511
10SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,1.6,PBS,YES,138.894,0.49,0.3567488244175911,126.17649353027343
11SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,1.6,PBS,YES,325.634,0.489,0.36516196027398107,129.56348167419435
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.37,1.6,MQ,NO,277.332,0.735,0.6706703117489815,620.3617980957031
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,1.6,PBS,YES,52.067,0.26,0.31664090752601626,130.48777565002442
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,1.6,PBS,YES,101.454,0.35,0.3576433916389942,126.0287678527832
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,1.6,PBS,YES,77.448,0.233,0.31682146549224854,126.31028522491455
16SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.375,1.6,MQ,YES,177.522,0.431,0.36353192076087,129.56348167419435
17SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,1.6,PBS,NO,255.405,0.783,0.671334775686264,646.3791157531738
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,2.5,1.6,MQ,NO,198.619,0.519,0.6705822813510894,621.9422972106934
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.71,1.6,MQ,YES,131.205,0.38,0.3549237126111984,126.17649353027343
20SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,1.6,PBS,NO,351.504,0.558,0.6660320746898651,611.7350358581543
21SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.375,1.6,MQ,YES,135.609,0.369,0.3521470286697149,126.91434837341309
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,0.71,1.6,MQ,YES,146.776,0.44,0.31237286537885667,127.33775932312011
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.58,1.6,MQ,YES,125.959,0.339,0.31558522790670396,126.28736415863037
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,1.6,PBS,YES,102.376,0.385,0.31282036304473876,127.3606803894043
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.04,1.6,MQ,YES,116.839,0.082,0.18896812088787557,124.3887636566162
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,1.6,MQ,NO,1929.916,0.842,0.8387229198217392,2837.554471435547
03SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.375,1.6,MQ,YES,133.051,0.186,0.2437444644421339,218.1778500366211
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,1.6,PBS,YES,91.433,0.1,0.18876350358128546,124.40755218505859
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,1.6,MQ,NO,700.845,0.681,0.8387229198217392,2837.554471435547
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,1.6,PBS,YES,122.961,0.236,0.24373277857899667,218.1778500366211
07SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,1.6,PBS,YES,163.558,0.316,0.24487492702901364,214.05546035766602
08SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,1.6,MQ,YES,69.723,0.067,0.18876350358128546,124.40755218505859
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,2.0,1.6,PBS,NO,1794.372,0.936,0.7925213441252709,2241.6085038757324
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,1.6,PBS,NO,301.615,0.521,0.7844700053334236,2246.221136932373
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,2.0,1.6,PBS,NO,1242.327,0.826,0.8352742275595665,2832.1257946777346
12SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,1.6,MQ,NO,2100.262,0.999,0.7841126284003258,2237.2066484069824
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,1.6,PBS,NO,1787.444,0.994,0.8387357640266419,2828.9511340332033
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,2.0,1.6,PBS,YES,133.599,0.269,0.1889564350247383,124.3887636566162
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,1.6,PBS,NO,2254.269,1.0,0.7944274941086769,2245.2957121276854
16SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,1.6,MQ,NO,731.331,0.991,0.8351200157403946,2833.8983764648438
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,1.6,PBS,NO,571.168,0.558,0.782754683792591,2261.8379905700685
18SM,ESM,Micromixer,5.0,0.0,0.0,0.0,0.7060709978109694,1.6,MQ,NO,554.177,0.595,0.7933299899101257,2234.5997666931153
19SM,ESM,Micromixer,5.0,0.0,0.0,0.0,2.5,1.6,MQ,YES,109.153,0.284,0.18897330947220325,125.94281589508057
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,1.6,PBS,NO,6478.919,1.0,0.8354743102192879,2840.7440686035156
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.71,1.6,MQ,YES,108.176,0.106,0.2437444644421339,218.1778500366211
22SM,ESM,Micromixer,20.0,0.0,20.0,0.0,2.17,1.6,MQ,YES,116.98,0.128,0.24487492702901364,214.05546035766602
23SM,ESM,Micromixer,5.0,0.0,5.0,0.0,2.5,1.6,MQ,YES,70.824,0.118,0.18876350358128546,124.40755218505859
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,1.6,PBS,YES,85.425,0.145,0.24487492702901364,214.05546035766602
01CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.5,1.6,MQ,YES,111.287,0.294,0.3715293127298355,129.3363134765625
