ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI,PDI_pred,SIZE_pred
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.4,3.0,MQ,YES,117.567,0.327,0.31836443722248076,95.26505834176862
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.4,3.0,MQ,YES,124.403,0.403,0.3196172408759594,95.99141159955772
03SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.4,50.0,MQ,NO,169.247,0.531,0.66633076608181,463.41393814086916
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.4,3.0,PBS,YES,73.088,0.238,0.3185598711669445,95.38852593673279
05SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.4,50.0,MQ,NO,141.591,0.597,0.6654566496610641,456.8417820739746
06SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.4,50.0,PBS,YES,135.642,0.428,0.32533256351947787,82.41958191462925
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.4,3.0,PBS,NO,242.045,0.591,0.666782733798027,469.9817640686035
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.4,50.0,MQ,YES,19.897,0.443,0.32830599054694176,84.67838856288364
09SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.4,50.0,PBS,NO,593.99,0.61,0.6704785081744195,479.93608337402344
10SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.4,50.0,PBS,YES,138.894,0.49,0.32806538954377173,84.4298178918021
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.4,3.0,PBS,YES,325.634,0.489,0.3196054835617542,96.29019005719933
12SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.4,3.0,MQ,NO,277.332,0.735,0.6705054926872254,473.40275604248046
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.4,50.0,PBS,YES,52.067,0.26,0.32896541729569434,86.9045835494995
14SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.4,50.0,PBS,YES,101.454,0.35,0.328490873426199,85.3029571206229
15SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.4,3.0,PBS,YES,77.448,0.233,0.3198826991021633,96.00422908525675
16SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.4,50.0,MQ,YES,177.522,0.431,0.32877047285437583,86.24905467987061
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.4,3.0,PBS,NO,255.405,0.783,0.671260811984539,499.2789778137207
18SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.4,3.0,MQ,NO,198.619,0.519,0.6705054926872254,473.40275604248046
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.4,50.0,MQ,YES,131.205,0.38,0.3279742167890072,84.01199680873326
20SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.4,3.0,PBS,NO,351.504,0.558,0.6659435802698135,463.9187533569336
21SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.4,3.0,MQ,YES,135.609,0.369,0.3161763707497248,93.1386283426238
22SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.4,3.0,MQ,YES,146.776,0.44,0.31566358245397896,93.31493262385852
23SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.4,50.0,MQ,YES,125.959,0.339,0.3274039615690708,83.84089397975376
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.4,50.0,PBS,YES,102.376,0.385,0.32533256351947787,82.41958191462925
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.4,3.0,MQ,YES,116.839,0.082,0.10055672056972981,94.4807678234656
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.4,3.0,MQ,NO,1929.916,0.842,0.8396033555269241,2229.1940625
03SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.4,50.0,MQ,YES,133.051,0.186,0.06814697938986006,137.25313430786133
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.4,3.0,PBS,YES,91.433,0.1,0.1019922722876072,94.49755018626729
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.4,50.0,MQ,NO,700.845,0.681,0.8398721486330032,2096.531513671875
06SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.4,50.0,PBS,YES,122.961,0.236,0.06949213752351584,136.67219703674317
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.4,3.0,PBS,YES,163.558,0.316,0.09110241413116454,159.78640747070312
08SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.4,50.0,MQ,YES,69.723,0.067,0.08683002293109894,80.9683265638471
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.4,50.0,PBS,NO,1794.372,0.936,0.786074831187725,1571.572621307373
10SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.4,50.0,PBS,NO,301.615,0.521,0.7883907240629197,1582.8746379089355
11SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.4,3.0,PBS,NO,1242.327,0.826,0.839469478726387,2205.7239080810546
12SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.4,3.0,MQ,NO,2100.262,0.999,0.7869634222984314,1562.8511094665528
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.4,50.0,PBS,NO,1787.444,0.994,0.8397364050149918,2068.538349609375
14SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.4,50.0,PBS,YES,133.599,0.269,0.0873843627050519,80.94778182916474
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.4,3.0,PBS,NO,2254.269,1.0,0.7884758257865906,1586.114037322998
16SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.4,50.0,MQ,NO,731.331,0.991,0.8398038655519485,2083.893908691406
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.4,3.0,PBS,NO,571.168,0.558,0.7862545338273048,1594.2873991394042
18SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.4,3.0,MQ,NO,554.177,0.595,0.7869634222984314,1562.8511094665528
